# Power spectra at z = 1000 [Mpc^3] from CAMB transfer functions.
# k[1/Mpc]  P_b  P_cdm  P_m
7.012464720901334658e-06 1.156412545242346823e-04 1.156412909040227532e-04 1.156412909040227532e-04
7.742809430055785924e-06 1.272432418772950768e-04 1.272432709811255336e-04 1.272432709811255336e-04
8.549220183340366930e-06 1.400092733092606068e-04 1.400093024130910635e-04 1.400093024130910635e-04
9.439617315365467221e-06 1.540560188004747033e-04 1.540560333523899317e-04 1.540560333523899317e-04
1.042274925566744059e-05 1.695120008662343025e-04 1.695120736258104444e-04 1.695120736258104444e-04
1.150827483797911555e-05 1.865187368821352720e-04 1.865188096417114139e-04 1.865188096417114139e-04
1.270685606868937612e-05 2.052315976470708847e-04 2.052317286143079400e-04 2.052316849585622549e-04
1.403026908519677818e-05 2.258219174109399319e-04 2.258220774820074439e-04 2.258220774820074439e-04
1.549151602375786752e-05 2.484779688529670238e-04 2.484781725797802210e-04 2.484781143721193075e-04
1.710495052975602448e-05 2.734070585574954748e-04 2.734073495958000422e-04 2.734072913881391287e-04
1.888642145786434412e-05 3.008371568284928799e-04 3.008375642821192741e-04 3.008375351782888174e-04
2.085343476210255176e-05 3.310192842036485672e-04 3.310198080725967884e-04 3.310197498649358749e-04
2.302531174791511148e-05 3.642293449956923723e-04 3.642300725914537907e-04 3.642299270723015070e-04
2.542338734201621264e-05 4.007713578175753355e-04 4.007722600363194942e-04 4.007720854133367538e-04
2.807122109516058117e-05 4.409792600199580193e-04 4.409805696923285723e-04 4.409803950693458319e-04
3.099482273682951927e-05 4.852212732657790184e-04 4.852230194956064224e-04 4.852227866649627686e-04
3.422292502364143729e-05 5.339016206562519073e-04 5.339039489626884460e-04 5.339035997167229652e-04
3.778722384595312178e-05 5.874658236280083656e-04 5.874688504263758659e-04 5.874683847650885582e-04
4.172274930169805884e-05 6.464036414399743080e-04 6.464080070145428181e-04 6.464071921072900295e-04
4.606815127772279084e-05 7.112544262781739235e-04 7.112600142136216164e-04 7.112590828910470009e-04
5.086613236926496029e-05 7.826109067536890507e-04 7.826184155419468880e-04 7.826171349734067917e-04
5.616381167783401906e-05 8.611256489530205727e-04 8.611356606706976891e-04 8.611339144408702850e-04
6.201324868015944958e-05 9.475169936195015907e-04 9.475303231738507748e-04 9.475282859057188034e-04
6.847190525149926543e-05 1.042574644088745117e-03 1.042592572048306465e-03 1.042589778080582619e-03
7.560322410427033901e-05 1.147167291492223740e-03 1.147191505879163742e-03 1.147187547758221626e-03
8.347725815838202834e-05 1.262251753360033035e-03 1.262284116819500923e-03 1.262278878130018711e-03
9.217137267114594579e-05 1.388879609294235706e-03 1.388922682963311672e-03 1.388915814459323883e-03
1.017709873849526048e-04 1.528208376839756966e-03 1.528266468085348606e-03 1.528257271274924278e-03
1.123703914345242083e-04 1.681510708294808865e-03 1.681588357314467430e-03 1.681575900875031948e-03
1.240737183252349496e-04 1.850186497904360294e-03 1.850291038863360882e-03 1.850274275057017803e-03
1.369959354633465409e-04 2.035777317360043526e-03 2.035917481407523155e-03 2.035894664004445076e-03
1.512640010332688689e-04 2.239975845441222191e-03 2.240163506940007210e-03 2.240133006125688553e-03
1.670180790824815631e-04 2.464645542204380035e-03 2.464897232130169868e-03 2.464856253936886787e-03
1.844129437813535333e-04 2.711834153160452843e-03 2.712172456085681915e-03 2.712117973715066910e-03
2.036194637184962630e-04 2.983795013278722763e-03 2.984249033033847809e-03 2.984174527227878571e-03
2.248263481305912137e-04 3.283002879470586777e-03 3.283611498773097992e-03 3.283512312918901443e-03
2.482419076841324568e-04 3.612179541960358620e-03 3.612996311858296394e-03 3.612862667068839073e-03
2.740961790550500154e-04 3.974313847720623016e-03 3.975410014390945435e-03 3.975229803472757339e-03
3.026431659236550331e-04 4.372688475996255875e-03 4.374158103018999100e-03 4.373919218778610229e-03
3.341633419040590525e-04 4.810907877981662750e-03 4.812880419194698334e-03 4.812559112906455994e-03
3.689662844408303499e-04 5.292930640280246735e-03 5.295576062053442001e-03 5.295145325362682343e-03
4.073939344380050898e-04 5.823093000799417496e-03 5.826639942824840546e-03 5.826062057167291641e-03
4.498238558880984783e-04 6.406149826943874359e-03 6.410909816622734070e-03 6.410134024918079376e-03
4.966728156432509422e-04 7.047310005873441696e-03 7.053693756461143494e-03 7.052655331790447235e-03
5.484010325744748116e-04 7.752264849841594696e-03 7.760828360915184021e-03 7.759431842714548111e-03
6.055167759768664837e-04 8.527235127985477448e-03 8.538720197975635529e-03 8.536849170923233032e-03
6.685810512863099575e-04 9.379004128277301788e-03 9.394408203661441803e-03 9.391897358000278473e-03
7.382135372608900070e-04 1.031495165079832077e-02 1.033561211079359055e-02 1.033224165439605713e-02
8.150980575010180473e-04 1.134308800101280212e-02 1.137079112231731415e-02 1.136627141386270523e-02
8.999902056530117989e-04 1.247207913547754288e-02 1.250922773033380508e-02 1.250317227095365524e-02
9.937237482517957687e-04 1.371126249432563782e-02 1.376107707619667053e-02 1.375295314937829971e-02
1.097219646908342838e-03 1.507065258920192719e-02 1.513743400573730469e-02 1.512654125690460205e-02
1.211494556628167629e-03 1.656091026961803436e-02 1.665043458342552185e-02 1.663582772016525269e-02
1.337671186774969101e-03 1.819329336285591125e-02 1.831328310072422028e-02 1.829370297491550446e-02
1.476989127695560455e-03 1.997956819832324982e-02 2.014036290347576141e-02 2.011411637067794800e-02
1.630816725082695484e-03 2.193182334303855896e-02 2.214725315570831299e-02 2.211207523941993713e-02
1.800665515474975109e-03 2.406227029860019684e-02 2.435082010924816132e-02 2.430368214845657349e-02
1.988204196095466614e-03 2.638284489512443542e-02 2.676920965313911438e-02 2.670606039464473724e-02
2.195274690166115761e-03 2.890475280582904816e-02 2.942186407744884491e-02 2.933728322386741638e-02
2.423911588266491890e-03 3.163767978549003601e-02 3.232944756746292114e-02 3.221620991826057434e-02
2.676361007615923882e-03 3.458889946341514587e-02 3.551377356052398682e-02 3.536221757531166077e-02
2.955102594569325447e-03 3.776197880506515503e-02 3.899755701422691345e-02 3.879485279321670532e-02
3.262875368818640709e-03 4.115495458245277405e-02 4.280417785048484802e-02 4.253320768475532532e-02
