# CAMB transfer functions at z = 1000, converted to the CLASS
# convention (Newtonian gauge, unit primordial curvature, theta in 1/Mpc
# with d(delta)/dtau = -theta).
# cosmology: h=0.71, Omega_b=0.044, Omega_cdm=0.226, A_s=2.1e-09, n_s=0.965, k_pivot=0.05/Mpc
# k[1/Mpc]  delta_b  delta_cdm  theta_b[1/Mpc]  theta_cdm[1/Mpc]
7.012464720901334658e-06 -8.397668125326163135e-07 -8.397669262194540352e-07 3.953544602808278796e-09 3.953545490986698496e-09
7.742809430055785924e-06 -1.023798517962859478e-06 -1.023798631649697199e-06 4.819947996281825908e-09 4.819950216727875159e-09
8.549220183340366930e-06 -1.248160288014332764e-06 -1.248160401701170485e-06 5.876222619605186992e-09 5.876223951872816542e-09
9.439617315365467221e-06 -1.521689796391001437e-06 -1.521689910077839158e-06 7.163973414492375014e-09 7.163976079027634114e-09
1.042274925566744059e-05 -1.855162054198444821e-06 -1.855162508945795707e-06 8.733930911830611876e-09 8.733934464544290677e-09
1.150827483797911555e-05 -2.261714371343259700e-06 -2.261714826090610586e-06 1.064793853089440745e-08 1.064794474814334535e-08
1.270685606868937612e-05 -2.757359879979048856e-06 -2.757360789473750629e-06 1.298139196137526596e-08 1.298140084315946297e-08
1.403026908519677818e-05 -3.361624521858175285e-06 -3.361625658726552501e-06 1.582621145246321248e-08 1.582622211060424888e-08
1.549151602375786752e-05 -4.098311819689115509e-06 -4.098313638678519055e-06 1.929446291626391030e-08 1.929448067983230430e-08
1.710495052975602448e-05 -4.996440566173987463e-06 -4.996443294658092782e-06 2.352276595729563269e-08 2.352279260264822369e-08
1.888642145786434412e-05 -6.091389877838082612e-06 -6.091393970564240590e-06 2.867767889824790473e-08 2.867771975445521093e-08
2.085343476210255176e-05 -7.426294359902385622e-06 -7.426300271617947146e-06 3.496227307664412365e-08 3.496232992006298446e-08
2.302531174791511148e-05 -9.053736903297249228e-06 -9.053745998244266957e-06 4.262410158162310836e-08 4.262419750489243597e-08
2.542338734201621264e-05 -1.103782688005594537e-05 -1.103783961298177019e-05 5.196499230919471302e-08 5.196512375960082863e-08
2.807122109516058117e-05 -1.345671807939652354e-05 -1.345673808827996254e-05 6.335287849879023270e-08 6.335307745075624553e-08
3.099482273682951927e-05 -1.640569826122373343e-05 -1.640572736505419016e-05 7.723634354306341265e-08 7.723663486558507429e-08
3.422292502364143729e-05 -2.000093991227913648e-05 -2.000098356802482158e-05 9.416230994929719600e-08 9.416276469664808246e-08
3.778722384595312178e-05 -2.438405135762877762e-05 -2.438411320326849818e-05 1.147974728610279271e-07 1.147981265603448264e-07
