# Power spectra at z = 1000 [Mpc^3] from CLASS transfer functions;
# last column is the direct CLASS P_m(k) for cross-checking.
# k[1/Mpc]  P_b  P_cdm  P_m  P_m_direct
7.001567159278630640e-06 1.901491101737612784e+08 1.901491101741265059e+08 1.901491101740670502e+08 1.901489359516961277e+08
7.164654609072889064e-06 1.773145309838152230e+08 1.773145309841741025e+08 1.773145309841156602e+08 1.773143685212842226e+08
7.331540853576293994e-06 1.653462170985817313e+08 1.653462170989222229e+08 1.653462170988667905e+08 1.653460656021727622e+08
7.502314378084679157e-06 1.541857292018027008e+08 1.541857292021247745e+08 1.541857292020722330e+08 1.541855879312939048e+08
7.677065728981195266e-06 1.437785516525069475e+08 1.437785516528117359e+08 1.437785516527621746e+08 1.437784199174326956e+08
7.855887561745196417e-06 1.340738352445618659e+08 1.340738352448507100e+08 1.340738352448036671e+08 1.340737124009858668e+08
8.038874690079399709e-06 1.250239859187632948e+08 1.250239859189813435e+08 1.250239859189458340e+08 1.250238713666854054e+08
8.226124136181369440e-06 1.165850925469262898e+08 1.165850925471168309e+08 1.165850925470858067e+08 1.165849857265118361e+08
8.417735182185966754e-06 1.087158102234510183e+08 1.087158102236170322e+08 1.087158102235899717e+08 1.087157106125983447e+08
8.613809422806056979e-06 1.013763122039091140e+08 1.013763122036511749e+08 1.013763122036932260e+08 1.013762193157407939e+08
8.814450819199364933e-06 9.453364115880896151e+07 9.453364115854413807e+07 9.453364115858727694e+07 9.453355454061868787e+07
9.019765754090062145e-06 8.815283761974579096e+07 8.815283761947652698e+07 8.815283761952039599e+07 8.815275684823158383e+07
9.229863088174291709e-06 8.220272741608391702e+07 8.220272741581146419e+07 8.220272741585586965e+07 8.220265209649860859e+07
9.444854217839553041e-06 7.665425494089537859e+07 7.665425494062860310e+07 7.665425494067209959e+07 7.665418470501381159e+07
9.664853134228537990e-06 7.148028781622377038e+07 7.148028781596203148e+07 7.148028781600470841e+07 7.148022232186077535e+07
9.889976483678744967e-06 6.665555005083432794e+07 6.665555005057757348e+07 6.665555005061940104e+07 6.665548897751116008e+07
1.012034362956991435e-05 6.215646970663412660e+07 6.215646970638211817e+07 6.215646970642318577e+07 6.215641275584097207e+07
1.035607671561206533e-05 5.796106585265819728e+07 5.796106585241142660e+07 5.796106585245165974e+07 5.796101274604392797e+07
1.059730073060771401e-05 5.404884007660239190e+07 5.404884007636021078e+07 5.404884007639969885e+07 5.404879055460182577e+07
1.084414357472258936e-05 5.040067601940631866e+07 5.040067601916529983e+07 5.040067601920458674e+07 5.040062984008159488e+07
1.109673612729999225e-05 4.699875141704594344e+07 4.699875141682133079e+07 4.699875141685796529e+07 4.699870835338044167e+07
1.135521231625475567e-05 4.382645037161327153e+07 4.382645037138867378e+07 4.382645037142528594e+07 4.382641021478199214e+07
1.161970918908360139e-05 4.086827335517670959e+07 4.086827335495254397e+07 4.086827335498908162e+07 4.086823590893262625e+07
1.189036698552953334e-05 3.810976625225980580e+07 3.810976625203645229e+07 3.810976625207285583e+07 3.810973133347783238e+07
1.216732921193880615e-05 3.553745042815027386e+07 3.553745042792819440e+07 3.553745042796441168e+07 3.553741786611681432e+07
1.245074271734989144e-05 3.313875707250606641e+07 3.313875707228594273e+07 3.313875707232181728e+07 3.313872670790651813e+07
1.274075777135477750e-05 3.090196572938296199e+07 3.090196572916497290e+07 3.090196572920049727e+07 3.090193741358834133e+07
1.303752814377390206e-05 2.881616756094693765e+07 2.881616756073062867e+07 2.881616756076588854e+07 2.881614115720786154e+07
1.334121118618694100e-05 2.687121501624004170e+07 2.687121501606506854e+07 2.687121501609358191e+07 2.687119039493043348e+07
1.365196791536270764e-05 2.505756491667564586e+07 2.505756491652396694e+07 2.505756491654866934e+07 2.505754195851555839e+07
1.396996309863235228e-05 2.336623362107934058e+07 2.336623362092727050e+07 2.336623362095205486e+07 2.336621221229169518e+07
1.429536534125121549e-05 2.178906391942489520e+07 2.178906391927289963e+07 2.178906391929768771e+07 2.178904395537396520e+07
1.462834717579553918e-05 2.031844163385941461e+07 2.031844163373134658e+07 2.031844163375222310e+07 2.031842301822372526e+07
1.496908515364153704e-05 1.894698525306111574e+07 1.894698525293223560e+07 1.894698525295324624e+07 1.894696789350406453e+07
1.531775993857525931e-05 1.766805352017756924e+07 1.766805352004901320e+07 1.766805352006996423e+07 1.766803733138272539e+07
1.567455640258293555e-05 1.647557038498822600e+07 1.647557038488198631e+07 1.647557038489929959e+07 1.647555528943450749e+07
1.603966372387254446e-05 1.536350018736373261e+07 1.536350018725676648e+07 1.536350018727419153e+07 1.536348611026932113e+07
1.641327548717859834e-05 1.432649232935182750e+07 1.432649232924447954e+07 1.432649232926196977e+07 1.432647920155349188e+07
1.679558978640334076e-05 1.335947982385317609e+07 1.335947982374600321e+07 1.335947982376347110e+07 1.335946758161657490e+07
1.718680932964874739e-05 1.245773819401420839e+07 1.245773819390755706e+07 1.245773819392493553e+07 1.245772677752804384e+07
1.758714154669504927e-05 1.161686173531761765e+07 1.161686173521182686e+07 1.161686173522906750e+07 1.161685108881632239e+07
