# CLASS v3 transfer functions at z = 1000, Newtonian gauge,
# normalised to unit primordial curvature (output_format='class').
# theta convention: d(delta)/dtau = -theta, theta in 1/Mpc (c=1).
# cosmology: h=0.71, Omega_b=0.044, Omega_cdm=0.226, A_s=2.1e-09, n_s=0.965, k_pivot=0.05/Mpc
# k[1/Mpc]  delta_b  delta_cdm  theta_b[1/Mpc]  theta_cdm[1/Mpc]
7.001567159278637416e-06 -1.074297243798322476e+00 -1.074297243799358981e+00 3.942866943777710768e-09 3.942875004953274962e-09
8.814450819199376791e-06 -1.074287458806164164e+00 -1.074287458804660256e+00 6.249076566781954243e-09 6.249059090482342464e-09
1.109673612730001088e-05 -1.074287377810527522e+00 -1.074287377807961574e+00 9.904123969948874471e-09 9.904094394864347451e-09
1.396996309863237939e-05 -1.074290338753996599e+00 -1.074290338750500062e+00 1.569696137091635528e-08 1.569692525684121218e-08
1.758714154669508992e-05 -1.074290469517041213e+00 -1.074290469512150015e+00 2.487795625992807940e-08 2.487790793121000916e-08
2.214089941395542389e-05 -1.074290978335077362e+00 -1.074290978327878232e+00 3.942893421663128423e-08 3.942885422128776279e-08
2.787374091220707055e-05 -1.074297600333005143e+00 -1.074297600328082414e+00 6.249065723295334378e-08 6.249060290686425675e-08
3.509096075614421531e-05 -1.074307853154121251e+00 -1.074307853164256921e+00 9.904083506936875941e-08 9.904096788510491366e-08
4.417690222018182968e-05 -1.074321432445536129e+00 -1.074321432519850683e+00 1.569682905539744760e-07 1.569691101514851288e-07
5.561542481933306759e-05 -1.074346239699335293e+00 -1.074346239970988881e+00 2.487757014063951363e-07 2.487786504440167436e-07
7.001567159278642837e-05 -1.074382616113864986e+00 -1.074382616884217656e+00 3.942780667712199844e-07 3.942864964194192300e-07
8.814450819199383229e-05 -1.074426149510248951e+00 -1.074426151410973196e+00 6.248802376776033098e-07 6.249004312385843185e-07
1.109673612730001867e-04 -1.074497603148799607e+00 -1.074497607915799069e+00 9.903464244763329175e-07 9.903963952076397774e-07
1.396996309863238921e-04 -1.074612214815900302e+00 -1.074612226593522069e+00 1.569541931555579420e-06 1.569665067766299271e-06
1.758714154669510144e-04 -1.074795802149800972e+00 -1.074795831688822867e+00 2.487418162583095494e-06 2.487726672890478644e-06
2.214089941395543744e-04 -1.075090494653313300e+00 -1.075090569107897798e+00 3.941941769972808563e-06 3.942719578834123359e-06
2.787374091220708411e-04 -1.075552735382756975e+00 -1.075552921896718139e+00 6.246693970302541311e-06 6.248641338630801117e-06
3.509096075614423428e-04 -1.076287358048176879e+00 -1.076287826149946669e+00 9.898167653072726912e-06 9.903054875349591668e-06
